scenario,cost_att1,cost_att3
590,143541.47403342024,143541.47403342024
591,187287.717106,145135.58404308156
592,139834.46278893983,139834.46278893983
593,187965.97251,152734.04741272324
594,151187.52436778485,151187.52436778485
595,151187.52436778485,151187.52436778485
596,151383.134909915,151383.134909915
597,187965.97251,152283.16027250592
598,132607.84683157338,132607.84683157338
599,183056.009632,129652.10773907199
600,151376.4459987094,151376.4459987094
601,169191.74755200002,161252.02683775
602,143339.63358747182,143339.63358747182
603,153092.188518072,153025.6994179596
604,151751.80452666897,151751.80452666897
605,152964.05170876658,152964.05170876658
606,153085.93537046222,153085.93537046222
607,183056.009632,183056.009632
608,187965.97251,180597.23447750002
609,150414.0220514578,150414.0220514578
610,149124.77537466024,149124.77537466024
611,150414.0220514578,150414.0220514578
612,148643.50277572454,148643.50277572454
613,150274.3667727175,150274.3667727175
614,187965.97251,187179.833334
615,150149.45122380115,145075.0276545
616,148850.8399657204,148850.8399657204
617,153279.97842844625,148237.0100331751
618,187965.97251,186781.33129399997
619,132647.60574136506,132647.60574136506
620,154388.7048818199,154388.7048818199
621,150951.3358667059,150951.3358667059
622,146015.03089249908,146015.03089249908
623,187965.97251,171480.82524200002
624,149473.69422016383,149473.69422016383
625,151046.6305663811,151046.6305663811
626,142495.63637028143,141617.518974
627,142608.1375937962,142608.1375937962
628,144247.2025271253,144247.2025271253
629,142624.25034328867,142624.25034328867
630,144247.2025271253,144247.2025271253
631,187965.97251,148147.291699
632,146211.1316883231,146211.1316883231
633,144568.75403801567,144568.75403801567
634,187965.97251,140836.5660590853
635,144568.75403801567,144568.75403801567
636,145808.56389606572,145808.56389606572
637,145924.0157417504,144795.87761531526
638,145808.56389606572,145808.56389606572
639,144355.66508016933,144355.66508016933
640,187965.97251,166142.0488195
641,156347.93098995544,156347.93098995544
642,187965.97251,156347.93098995544
643,156218.8311986236,156218.8311986236
644,156218.8311986236,156218.8311986236
645,153544.492031057,153544.492031057
646,153641.48999082303,149398.4606967444
647,153749.11145366315,153749.11145366315
648,153749.11145366315,152873.86272429998
649,155009.96476795484,155009.96476795484
650,151360.3807985621,139839.89226614824
651,151567.12377077795,151567.12377077795
652,151446.62624382443,151446.62624382443
653,152661.1862176319,152661.1862176319
654,152773.06490258742,152773.06490258742
655,187965.97251,152186.2848126166
656,150825.9201091024,150825.9201091024
657,152058.93893194574,152058.93893194574
658,187965.97251,152058.93893194574
659,176186.4224212,173479.7030792
660,148253.95368507158,138324.13764073106
661,147699.82991502207,147699.82991502207
662,145984.38787829856,145984.38787829856
663,187721.716316,181195.13012599997
664,187721.716316,187721.716316
665,187965.97251,181553.88059308
666,144957.7309004875,144957.7309004875
667,187965.97251,148870.7822498582
668,123444.4466432743,123444.4466432743
669,140472.8323821696,140472.8323821696
670,140472.8323821696,140472.8323821696
671,140568.8532280085,138799.4428804928
672,140472.8323821696,140472.8323821696
673,185101.628456,131791.184424
674,138190.22512497572,138190.22512497572
675,139878.79545092175,139878.79545092175
676,187965.97251,139856.70458845788
677,138003.64421838592,138003.64421838592
678,134111.15152093553,134111.15152093553
679,182897.966324,182897.966324
680,135103.7240499263,135103.7240499263
681,134954.67165111715,134954.67165111715
682,139062.85771027888,139062.85771027888
683,137361.5340693309,137361.5340693309
684,137184.32874798524,137184.32874798524
685,139508.36474650906,139508.36474650906
686,137184.32874798524,137184.32874798524
687,137960.78502421125,137960.78502421125
688,187965.97251,173953.836257
689,138044.55086396175,138044.55086396175
690,139492.6590414529,139492.6590414529
691,137627.89513455695,137627.89513455695
692,137486.50203139114,137486.50203139114
693,135159.4652622172,135159.4652622172
694,180334.32431199998,139584.1401049372
695,187965.97251,141129.26423597464
696,114936.32822126288,114936.32822126288
697,123083.87050324606,123083.87050324606
698,141129.26423597464,141129.26423597464
699,138772.9747959939,138772.9747959939
700,139808.25767033632,131379.54464662736
701,144206.89435447517,144206.89435447517
702,144317.43537715223,144317.43537715223
703,142638.59267187596,142638.59267187596
704,163730.832562,119584.38305384168
705,147762.38987041274,147762.38987041274
706,147565.2209033737,147565.2209033737
707,184197.56001,183740.856523
708,149230.8281123389,149230.8281123389
709,149107.6798735815,148999.8445791036
710,148956.46143710634,144356.2959014554
711,125150.33145002079,125150.33145002079
712,149079.3269737926,149079.3269737926
713,149079.3269737926,149079.3269737926
714,149079.3269737926,149079.3269737926
715,146768.97357145068,146293.15532982157
716,148276.47124815077,148276.47124815077
717,148276.47124815077,148276.47124815077
718,146911.43802734357,144122.08435639399
719,146819.03861219497,146819.03861219497
720,146904.86557999745,146904.86557999745
721,146786.79498518337,146786.79498518337
722,145269.02829988155,128888.96056242457
723,146786.79498518337,146786.79498518337
724,143298.448512057,143298.448512057
725,145669.72672150584,145669.72672150584
726,187965.97251,182042.333033
727,144008.93719282857,144008.93719282857
